id,text,author,trackType,presentationMode,categories
9119f52a-6055-4f23-b35b-8e1f8d01c445,For a long time I spent my weary days in a fog of what might be and what has been and I guess you could say im still learning how to accept what is.,Nikki Rowe,hope,textOverlay,Mindfulness|Growth|Possibility
ebbeeccd-265a-4237-891d-222909db79b9,The relentless desire to give is evidence of love.,Mensah Oteh,hope,textOverlay,Connection|Possibility|Growth
4f23eff9-7d61-4472-a279-fcb736226f26,Through strength I found loveIn time I found myself in happiness with you,Alexis Jordan,hope,textOverlay,Agency|Connection|Resilience
f7a65700-5f99-4444-b1c4-ae0ae47cfa98,You must choose a positive response to any situation. This is the step action to conquer it.,"Lailah Gifty Akita, Think Great: Be Great!",hope,textOverlay,Agency|Resilience|Growth
c6e83cf2-8977-4a09-b738-c5ddaa30f1cb,Love opens the most impossible gates in the world.,"Abhijit Naskar, The Education Decree",hope,textOverlay,Purpose|Growth|Connection
55a921f4-8c69-46bb-bc83-8db878561e7b,The difference between those who achieve their dreams and those who don’t is in their ability to see not only with their eyes but also their minds.,Mensah Oteh,hope,textOverlay,Possibility|Growth|Connection
96a59deb-9426-4196-92c6-a4d97ee6b72a,"Live to start your stupid ideas, and start to live a life without regret--a life filled with meaning, freedom, happiness, fun, authenticity, and influence.","Richie Norton, The Power of Starting Something Stupid: How to Crush Fear, Make Dreams Happen, and Live without Regret",hope,textOverlay,Self-Worth|Purpose
591267c5-fe8c-4789-a0b7-b7a7697788fa,"To stop war, teach peace, love, cooperation, and most of all—forgiveness.",Debasish Mridha,hope,textOverlay,Mindfulness|Connection
8132f516-457a-4453-82ad-a5b9db99e4d2,The best secret of success is to always be ready to find and open the door of opportunity.,Debasish Mridha,hope,textOverlay,Possibility|Connection
3f2ded31-f2a1-47da-8d1a-48d9a75da1ff,"Somewhere there is a drummer calling to you too, and playing your special beat.",Pooja Ruprell,hope,textOverlay,Purpose|Resilience
3dc81cbd-21d1-472e-889a-7c2b768feb8d,"You fear no inferno when you are born amidst flames.It’s another flesh wound, another lasting burn.Carry them with you.","Renee Ruin, Wounds: Volume 1",hope,textOverlay,Resilience|Agency
f9c5203c-2268-4fb5-ae95-756026da2b3b,Smash the Goals in your Life! You are the Unstoppable!,Avijeet Das,hope,textOverlay,Purpose|Growth|Possibility
ed87512a-8c82-45c2-a1a9-0d1059d48235,"To truly live a passionate life, develop habits and routines that engage you and enable you to express your passion each day.","Mensah Oteh, The Good Life: Transform your life through one good day",hope,textOverlay,Purpose|Possibility|Connection
8ce9decc-030c-40bb-80bb-5db79279d897,Life is too short Be with someone who takes your breath away,"Mimi Novic, The Silence Between the Sighs",hope,textOverlay,Growth|Possibility|Connection
75522b3c-5ff1-45cb-9749-e96098d26be2,The Lack of perseverance and effort isn't called Destiny !,Shahryar Barani,hope,textOverlay,Purpose|Resilience
0e34c127-3872-43d7-8d7b-f44af70692b7,Each day should be a day of rejoicing. Give thanks and celebrate in all things,Mensah Oteh,hope,textOverlay,Connection|Possibility|Growth
c1482116-bb37-4ec9-a81d-083a63f666d1,"You can do anything if you can combine your passion with focus, effort and persistence.",Mensah Oteh,hope,textOverlay,Purpose|Possibility|Connection
cd47d4e8-00b3-433e-83d4-5f908afc6858,All of the years I spent trying to be someone you could be proud of would have been better spent being proud of myself for who I already was.,Paula Heller Garland,hope,textOverlay,Self-Worth|Agency
45dc36e1-ce6e-46c2-ac46-0dcb5ba771e0,Being brave enough to be alone frees you up to invite people into your life because you want them and not because you need them.,"Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass",hope,textOverlay,Self-Worth|Agency
76f145e9-dbe2-48c8-ad9e-a19b70079974,"There is one thing you must always remember about yourself; always be yourself, with courage and humility, no matter what!",Ernest Agyemang Yeboah,hope,textOverlay,Agency|Purpose|Self-Worth
10288070-6c0f-4c67-955b-a72b2f385473,Have faith in the universe and its capability to lead you to the path of abundance.,"Stephen Richards, Think Your way to Success: Let Your Dreams Run Free",hope,textOverlay,Agency|Connection|Growth
d1e9ae6c-e711-4fc3-8f0e-e682d9008f85,"You tend to become like that, what you want most. It is up to you to make it happen. Expect the best and work hard. Dedicate yourself to full success.",Mark F. LaMoure,hope,textOverlay,Agency|Growth|Resilience
8ed101ff-4fbf-460b-9a37-75def7ce2168,"Don’t wait for a perfect day. To make it a perfect day, dance the whole day, sing every hour, and love every moment",Debasish Mridha,hope,textOverlay,Mindfulness|Connection
b0036492-c456-4fd8-be78-0cc344887a26,"You don't blame your shadow for the shape of your body, just the same, don't blame others for the shape of your experience.",Gillian Duce,hope,textOverlay,Growth|Connection|Agency
c9093b54-dfc1-4527-ae5f-11a88553c6a0,A weak but steady throb lay beneath Kev's searching fingertips. Win's heartbeat...the pulse that sustained his universe.,"Lisa Kleypas, Seduce Me at Sunrise",hope,textOverlay,Possibility|Connection
f3b767e1-19b4-49c6-960b-83cea97a30c7,A dove struggling in a storm grows stronger than an eagle soaring in sunshine.,Matshona Dhliwayo,hope,textOverlay,Resilience|Growth
41042b08-4265-4cf7-a05e-ca8c232ee8f8,Every experience lays the foundation for the ultimate success.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",hope,textOverlay,Growth|Possibility|Resilience
0d71a82d-6785-41f1-a276-a5b17b51ecb4,"The ultimate purpose of life is to live it with profound love, joy, and happiness.",Debasish Mridha,hope,textOverlay,Purpose|Connection
fbe70885-58cb-418b-81fc-0385605eaed7,"Your emotions will wander like a vagabond when you're indebted. Those happy moments with friends will soon be interrupted with a frowning creditor in your sub-conscious, and all your frenzy will be taken aback.",Michael Bassey Johnson,hope,textOverlay,Mindfulness|Agency|Resilience
